WID,TrialName,TrialBase,Response,NormResp,TrialType,Materials,Centering,StrutSize,ShapeType,TrialNumber,RevType,CorrectResp,TrialOrd,Time
S048,CD_mixed_centered_0.25_1_mixed_N,CD_mixed_centered_0.25_1,R,R,CD,mixed,centered,0.25,mixed,0.25,N,L,113,2347
S048,B_pure_uncentered_0.25_1_blocks_R,B_pure_uncentered_0.25_1,B,B,B,pure,uncentered,0.25,blocks,0.25,R,B,114,4123
S048,W_pure_centered_0.25_1_blocks_R,W_pure_centered_0.25_1,R,L,W,pure,centered,0.25,blocks,0.25,R,L,115,2725
S048,CB_mixed_centered_0.25_1_blocks_R,CB_mixed_centered_0.25_1,R,L,CB,mixed,centered,0.25,blocks,0.25,R,B,116,3999
S048,CB_pure_uncentered_0.25_0_blocks_N,CB_pure_uncentered_0.25_0,L,L,CB,pure,uncentered,0.25,blocks,0.25,N,B,117,4099
S048,CB_mixed_uncentered_0.25_1_blocks_R,CB_mixed_uncentered_0.25_1,R,L,CB,mixed,uncentered,0.25,blocks,0.25,R,B,118,1823
S048,D_mixed_uncentered_0.25_1_mixed_N,D_mixed_uncentered_0.25_1,B,B,D,mixed,uncentered,0.25,mixed,0.25,N,L,119,47357
S048,CB_mixed_centered_1.0_0_mixed_R,CB_mixed_centered_1.0_0,R,L,CB,mixed,centered,1.0,mixed,1.0,R,B,120,2623
S048,CB_pure_uncentered_1.0_0_mixed_R,CB_pure_uncentered_1.0_0,B,B,CB,pure,uncentered,1.0,mixed,1.0,R,B,121,4156
S048,CD_pure_centered_0.25_0_blocks_N,CD_pure_centered_0.25_0,L,L,CD,pure,centered,0.25,blocks,0.25,N,L,122,3248
S048,D_mixed_centered_1.0_1_blocks_R,D_mixed_centered_1.0_1,R,L,D,mixed,centered,1.0,blocks,1.0,R,L,123,2772
S048,D_mixed_centered_0.25_0_blocks_N,D_mixed_centered_0.25_0,L,L,D,mixed,centered,0.25,blocks,0.25,N,L,124,4723
S048,CW_mixed_uncentered_1.0_0_blocks_N,CW_mixed_uncentered_1.0_0,L,L,CW,mixed,uncentered,1.0,blocks,1.0,N,L,125,3123
S048,CW_mixed_centered_0.25_1_mixed_N,CW_mixed_centered_0.25_1,R,R,CW,mixed,centered,0.25,mixed,0.25,N,L,126,4555
S048,CW_pure_centered_1.0_0_mixed_R,CW_pure_centered_1.0_0,R,L,CW,pure,centered,1.0,mixed,1.0,R,L,127,9753
S048,D_pure_centered_1.0_0_mixed_R,D_pure_centered_1.0_0,R,L,D,pure,centered,1.0,mixed,1.0,R,L,128,1457
S048,W_mixed_centered_0.25_0_blocks_N,W_mixed_centered_0.25_0,L,L,W,mixed,centered,0.25,blocks,0.25,N,L,129,3875
S048,CD_mixed_centered_0.25_1_blocks_R,CD_mixed_centered_0.25_1,L,R,CD,mixed,centered,0.25,blocks,0.25,R,L,130,4559
S048,CB_pure_centered_1.0_1_mixed_N,CB_pure_centered_1.0_1,B,B,CB,pure,centered,1.0,mixed,1.0,N,B,131,3705
S048,CB_pure_centered_1.0_0_mixed_R,CB_pure_centered_1.0_0,L,R,CB,pure,centered,1.0,mixed,1.0,R,B,132,2156
S048,D_pure_uncentered_0.25_0_mixed_R,D_pure_uncentered_0.25_0,R,L,D,pure,uncentered,0.25,mixed,0.25,R,L,133,4133
S048,B_mixed_centered_0.25_0_blocks_N,B_mixed_centered_0.25_0,B,B,B,mixed,centered,0.25,blocks,0.25,N,B,134,2955
S048,B_mixed_uncentered_1.0_0_mixed_R,B_mixed_uncentered_1.0_0,R,L,B,mixed,uncentered,1.0,mixed,1.0,R,B,135,5927
S048,D_mixed_centered_1.0_1_mixed_N,D_mixed_centered_1.0_1,L,L,D,mixed,centered,1.0,mixed,1.0,N,L,136,7757
S048,W_pure_uncentered_1.0_0_blocks_N,W_pure_uncentered_1.0_0,L,L,W,pure,uncentered,1.0,blocks,1.0,N,L,137,3105
