"N","S1","S2","S3","P1","P2","P3"
27,16,2,9,0.915192293837636,0.000210434470932496,0.0845972716914328
27,16,3,8,0.945133919622546,0.000933061277616466,0.0539330190998369
27,16,4,7,0.965284020697574,0.00303075325107012,0.0316852260513585
27,16,5,6,0.975422538936183,0.00779568400064134,0.016781777063176
27,16,6,5,0.975440635419315,0.0167930724376482,0.00776629214303653
27,16,7,4,0.965371168849163,0.0316191128345707,0.00300971831626714
27,16,8,3,0.94534702716973,0.0537295213049104,0.000923451525359864
27,16,9,2,0.915515301861135,0.0842772137807635,0.000207484358102691
27,16,10,1,0.876081072637262,0.123888886625545,3.00407371950013e-05
27,16,11,0,0.827711053558276,0.17228680520509,2.14123663715821e-06
27,17,0,10,0.907429921320319,1.6377742560351e-06,0.0925684409054275
27,17,1,9,0.938762847284264,2.18426636417239e-05,0.0612153100520938
27,17,2,8,0.961945582054748,0.000144803637941648,0.0379096143073075
27,17,3,7,0.977698211185968,0.000624731463732749,0.0216770573503001
27,17,4,6,0.986770342245959,0.0019989313286393,0.0112307264254011
27,17,5,5,0.989730893051538,0.00513640104586609,0.0051327059025955
27,17,6,4,0.986806209999227,0.0112032604532319,0.00199052954754151
27,17,7,3,0.97779892425053,0.0215811548918705,0.000619920857600023
27,17,8,2,0.962116720316764,0.0377401198376736,0.000143159845560689
27,17,9,1,0.938941637950968,0.0610368549824435,2.15070665876545e-05
27,17,10,0,0.90767455582934,0.092323843846047,1.60032461605821e-06
27,18,0,9,0.956362725496164,1.11553298201052e-06,0.0436361589708556
27,18,1,8,0.973777598798509,1.43380537989111e-05,0.0262080631476915
27,18,2,7,0.985360050073395,9.24699306086565e-05,0.0145474799959964
27,18,3,6,0.992274589236021,0.000392917713681467,0.00733249305029737
27,18,4,5,0.995467118860853,0.00125582969425284,0.00327705144489487
27,18,5,4,0.995477300613595,0.00326782249795383,0.0012548768884512
27,18,6,3,0.992313751698964,0.00729514856787452,0.000391099733161392
27,18,7,2,0.985436182716518,0.0144721280854928,9.16891979899518e-05
27,18,8,1,0.973867009026368,0.0261188303526653,1.41606209670292e-05
27,18,9,0,0.956513173795466,0.0434857330966251,1.09310790941363e-06
27,19,0,8,0.982123126089251,6.99527620827453e-07,0.0178761743831285
27,19,1,7,0.990375143629402,8.74516007831962e-06,0.00961611121051966
27,19,2,6,0.995241479805369,5.55375413320859e-05,0.00470298265329772
27,19,3,5,0.997719983753971,0.000235703949969353,0.0020443122960595
27,19,4,4,0.998471680115349,0.000762936780710058,0.000765383103940692
27,19,5,3,0.997731977339113,0.00203250517922395,0.000235517481663034
27,19,6,2,0.995269528085125,0.00467521436191872,5.52575529552135e-05
27,19,7,1,0.990412797537195,0.00957853748932083,8.66497348350607e-06
27,19,8,0,0.982202319007625,0.017796993623872,6.87368504299399e-07
27,20,0,7,0.993718210188688,4.08111020209643e-07,0.00628138170029251
27,20,1,6,0.997019500884534,5.02310630008567e-06,0.00297547600916559
27,20,2,5,0.99871349673733,3.18579680866405e-05,0.00125464529458321
27,20,3,4,0.999406258087435,0.000136929174593185,0.000456812737971967
27,20,4,3,0.999408720602004,0.000453857735973263,0.000137421662022949
27,20,5,2,0.998721855194991,0.0012463128734955,3.18319315132712e-05
27,20,6,1,0.99703267969337,0.00296232456201354,4.99574461658023e-06
