Strategy,FitType,CVOrder,FitLLH,CVLLH
no_weight,all,29,-5939.124047810259,-5977.040198000108
no_weight,all,30,-5920.97272482451,-6001.208701268648
no_weight,all,31,-6169.551069210179,-5744.161752591216
no_weight,all,32,-5986.698608320791,-5918.428122319572
no_weight,all,33,-5773.14942459551,-6168.562237300518
no_weight,all,34,-5951.927412898279,-5956.08006056774
no_weight,all,35,-6075.981755544877,-5843.054609242702
no_weight,all,36,-6039.68415266615,-5871.202503728147
no_weight,all,37,-5944.875667490343,-6002.003703505447
no_weight,all,38,-5943.320460551871,-5972.23598313809
no_weight,all,39,-6025.131517976942,-5908.970688977919
no_weight,all,40,-6025.264250539315,-5913.813593288234
no_weight,all,41,-5863.178578342849,-6046.247454568612
no_weight,all,42,-5885.56850577194,-6030.209360524922
no_weight,all,43,-5962.7460346476455,-5944.865140670878
no_weight,all,44,-5860.118054692067,-6059.0094694266245
no_weight,all,45,-5965.573390463976,-5946.994908153543
no_weight,all,46,-5997.340088065675,-5929.501443179471
no_weight,all,47,-5918.512065935939,-6024.803451371337
no_weight,all,48,-6023.069491312319,-5908.590873267347
no_weight,all,49,-5879.507273464934,-6050.473560206635
just_sp,all,0,-6000.162088706678,-5937.595399505102
just_sp,all,1,-5972.437881792139,-5965.874268199126
just_sp,all,2,-6236.902638369001,-5698.4891451097565
just_sp,all,3,-6167.197160735043,-5764.126608745613
just_sp,all,4,-5679.800158308832,-6241.752214799315
just_sp,all,5,-5857.640183745387,-6056.946307001109
just_sp,all,6,-5902.734509220831,-6021.903903655816
just_sp,all,7,-5984.24904714293,-5943.64272396699
just_sp,all,8,-6003.617839708586,-5962.361777881641
just_sp,all,9,-5987.783649447009,-5951.32341975846
just_sp,all,10,-5844.558343796905,-6073.647062292728
just_sp,all,11,-6069.921533552949,-5885.919282846857
just_sp,all,12,-5830.495802758869,-6108.165199244435
just_sp,all,13,-6087.243890025543,-5834.97161770344
just_sp,all,14,-5942.369574717164,-5945.93078876744
just_sp,all,15,-6052.226017614433,-5905.530412089236
just_sp,all,16,-5970.055915836686,-5980.609972653791
just_sp,all,17,-6035.172700107276,-5891.819447692684
just_sp,all,18,-6135.638706741283,-5799.395971522811
just_sp,all,19,-5982.788846696019,-5938.642729971062
just_sp,all,20,-5920.386400566375,-6011.267689448754
just_sp,all,21,-5924.824089349099,-6030.376376007258
just_sp,all,22,-6064.96782325173,-5859.962247276803
just_sp,all,23,-5933.361620956018,-6013.262976933586
just_sp,all,24,-5761.738898248477,-6168.781718761029
just_sp,all,25,-5847.358169185663,-6088.4602988620345
just_sp,all,26,-6040.755428314141,-5908.544285561799
just_sp,all,27,-6031.683607680422,-5891.324460346611
just_sp,all,28,-5888.456212096207,-6034.261460309618
just_sp,all,29,-5935.713808679979,-5990.601999177358
just_sp,all,30,-5908.209131685841,-5995.148128687923
just_sp,all,31,-6164.808775994882,-5753.313140102168
just_sp,all,32,-6014.04860671274,-5930.0732130899
just_sp,all,33,-5781.244887779604,-6158.481189234321
just_sp,all,34,-5952.847186744525,-5977.3766100587
just_sp,all,35,-6089.185876206615,-5838.252083522221
just_sp,all,36,-6058.990804542816,-5874.802942310961
just_sp,all,37,-5951.716744372269,-5986.644298045725
just_sp,all,38,-5951.533224055646,-5983.103764241743
just_sp,all,39,-6023.53699948881,-5934.272831199286
just_sp,all,40,-6005.018451585918,-5903.202437118087
just_sp,all,41,-5841.695793416319,-6041.039783796995
just_sp,all,42,-5880.520357973954,-6039.725652288184
just_sp,all,43,-5957.78709203373,-5977.439674422586
just_sp,all,44,-5853.636465063157,-6059.123048201966
just_sp,all,45,-5978.553843657149,-5961.466591951669
just_sp,all,46,-5966.535505336375,-5943.430380678721
just_sp,all,47,-5912.039016398492,-6034.774723861908
just_sp,all,48,-6030.03489861213,-5916.716619305083
just_sp,all,49,-5883.721290378329,-6046.5323114754665
just_smp,all,0,-5993.716323654357,-5968.06120574099
just_smp,all,1,-6032.389221379411,-5941.843823287311
just_smp,all,2,-6276.04798625857,-5668.104283545726
just_smp,all,3,-6103.842931355319,-5871.721169325434
just_smp,all,4,-5752.28947696726,-6258.092024195287
just_smp,all,5,-5889.027962040013,-6065.440962780958
just_smp,all,6,-5942.291185582215,-6034.1936248285365
just_smp,all,7,-6001.40080611715,-5988.884289958983
just_smp,all,8,-6071.746949579395,-5915.060220161571
just_smp,all,9,-5875.018817993137,-6093.315124991993
just_smp,all,10,-5894.820159076522,-6054.75889398965
just_smp,all,11,-6071.750404926809,-5928.497497164735
just_smp,all,12,-5846.73889277927,-6140.020824464343
just_smp,all,13,-6087.809474549842,-5879.992669894334
just_smp,all,14,-5910.603553192395,-6063.25251380861
